num_of_players, total_bet, last_loss, last_revenue, consecutive_wl, last_result,current_result
47,4063600,2599080,4230900,-1,1.13,2.23
50,4775100,3533694,1092900,1,2.23,1.33
48,6694700,3600599,4500100,-1,1.33,1.34
43,11266500,3604631,6671400,-2,1.34,1.43
43,17614200,3890632,10426000,-3,1.43,1.36
44,16550500,4151575,16832100,-4,1.36,22.02
50,4726400,25284958,5900,1,22.02,1.09
47,4146600,25285510,4718900,-1,1.09,1.6
40,4472400,25740532,2923200,-2,1.6,1.96
40,6181700,28041025,418000,-3,1.96,11.9
46,2544200,32246034,62000,1,11.9,1.02
39,1634400,32246034,2544200,-1,1.02,150.74
56,8708400,35257753,5500,1,150.74,1.8
41,9319300,36963406,3049000,-1,1.8,3.99
43,4159000,47208482,23900,1,3.99,6.37
60,5947200,48744519,23300,2,6.37,1.23
48,5452800,48862348,3461400,-1,1.23,42.11
56,6249800,54691150,100,1,42.11,1.44
45,4996700,55696237,3823000,-1,1.44,1.65
46,4495100,56109063,3849100,-2,1.65,2.54
42,1319900,57104570,2823300,1,2.54,2.3
53,2526600,57733350,394700,2,2.3,1.04
40,2685200,57733359,2526300,-1,1.04,3.39
42,2632200,60480800,24200,1,3.39,2.27
48,1527100,61401142,124800,2,2.27,1.1
47,17548400,61402077,1516900,-1,1.1,1.56
43,39795400,61643088,16711300,-2,1.56,1.77
43,4936500,84595662,2986900,-3,1.77,8.51
58,3417800,88484473,50700,1,8.51,4.18
45,2320700,91922791,107400,2,4.18,1.23
36,4259000,91929517,2256400,-1,1.23,3.87
48,5361800,93865894,83400,1,3.87,1.65
50,3038000,94880913,2405300,-1,1.65,2.34
46,2562400,96476447,204600,1,2.34,1.1
45,6123100,96477302,2551000,-1,1.1,1.07
43,16724800,96477501,6119600,-2,1.07,1.22
42,7686200,96601764,13751000,-3,1.22,2.16
49,11040700,98678729,1881200,1,2.16,2.25
43,18521900,102578548,3527300,2,2.25,3.2
44,4379900,121943284,8800,3,3.2,1.93
44,3742100,122190615,3129500,-1,1.93,2.96
46,10750800,123091179,2582900,1,2.96,3.08
49,3946800,134607558,13700,2,3.08,3.21
53,3369000,137375656,753500,3,3.21,14.59
